friction,density,center_of_mass,scale,max_contact_force,success_rate
,, 0.0  -0.03  0.03,,-38417.363 221907.2    35408.465,0.984
,,-0.02  0.02  0.0,, -1382.5381  86120.91   -77921.92  ,0.986
,,-0.02  0.0   0.02,,-5157.775     732.0499   -476.94598,0.989
,, 0.02 -0.02  0.0,,   762.43176  54183.453   -97723.4    ,0.99
,, 0.0  -0.02  0.02,,-162968.95   32841.73   69639.54,0.973
,,-0.01  0.01  0.0,,  -3052.7285  -77583.74   -106543.31  ,0.987
,,-0.01  0.0   0.01,, 4872.3833  9613.469  -1687.1444,0.992
,, 0.01 -0.01  0.0,,-59729.38 172483.61 -91696.69,0.986
,, 0.0  -0.01  0.01,,-56672.87    6339.979  43994.72 ,0.989
,,-0.05  0.05  0.0,,-158489.25    30411.299  -72922.17 ,0.985
,,-0.05  0.0   0.05,, 78236.26  -52357.688  29071.809,0.985
,, 0.05 -0.05  0.0,, -99.96838 5070.761   8337.225  ,0.994
,, 0.0  -0.05  0.05,,-25462.719  38725.207 -24964.223,0.975
,,-0.10  0.10  0.0,,-4608.114    3460.8945   -352.09738,0.977
,,-0.10  0.0   0.10,,-507442.8   225413.94 -819091.2 ,0.979
,, 0.10 -0.10  0.0,, 16756.91   10940.366 -11705.234,0.991
,, 0.0  -0.10  0.10,,-222113.92 -391607.66  907931.3 ,0.982
,,-0.2   0.2   0.0,,-22568.09   48131.344 -18149.371,0.957
,,-0.2   0.0   0.2,,-131217.66    62722.883   50206.586,0.955
,, 0.2  -0.2   0.0,, -9814.476   3528.038 -14325.983,0.997
,, 0.0  -0.2   0.2,,-607023.06  168950.23   37155.85,0.975
,,-0.3   0.3   0.0,, 641146.6  -344896.    187979.66,0.948
,,-0.3   0.0   0.3,,317066.44 124222.68 111917.18,0.609
,, 0.3  -0.3   0.0,,-1615.1494    551.91187  1108.5437 ,0.0
,, 0.0  -0.3   0.3,,-27365.523  19350.816  88147.2  ,0.661
,,-0.4   0.4   0.0,, 181741.23   -22702.576 -195522.84 ,0.94
,,-0.4   0.0   0.4,,  -597.4607  18499.355  -21756.496 ,0.21
,, 0.4  -0.4   0.0,,-5.0108556e-05 -2.7901184e-05  8.0047614e+02,0.0
,, 0.0  -0.4   0.4,,256397.06 134332.45 177827.75,0.644
,, 0.03  0.0   0.0,,-3135.8127    186.29135 -2858.3262 ,0.985
,,-0.03  0.0   0.0,,2504773.8   377364.12 1093866.5 ,0.989
,, 0.0   0.03  0.0,, 7273.5376   560.5844 -7703.9487,0.988
,, 0.0  -0.03  0.0,,  -5428.4907   83835.66   -101892.43  ,0.991
,, 0.0   0.0   0.03,,  -399.92188   1813.7098  -21744.568  ,0.987
,, 0.0   0.0  -0.03,,51701.137  5692.917  4198.064,0.994
,, 0.02  0.0   0.0,, 9247.568  -1967.4802 -9937.77  ,0.986
,,-0.02  0.0   0.0,,-174201.27   -54949.957   37741.082,0.99
,, 0.0   0.02  0.0,,  8581.14     2106.0344 -12360.158 ,0.99
,, 0.0  -0.02  0.0,,-11344.453  58661.2    21504.959,0.991
,, 0.0   0.0   0.02,,109803.65  -27931.707  17633.547,0.954
,, 0.0   0.0  -0.02,,4887.651   2664.8022   602.68134,0.988
,, 0.01  0.0   0.0,, 417860.28 1431876.9  1384842.9 ,0.99
,,-0.01  0.0   0.0,,-46460.426  30373.941  28808.465,0.984
,, 0.0   0.01  0.0,,-113604.086   23838.426 -144705.9  ,0.99
,, 0.0  -0.01  0.0,, -5819.8857   3961.1199 -10133.149 ,0.991
,, 0.0   0.0   0.01,,12602.979   5249.5044  3410.7542,0.984
,, 0.0   0.0  -0.01,,  -139.05829 -11088.959   -32344.795  ,0.987
,, 0.05  0.0   0.0,, 90093.21   -29405.076   -3220.8098,0.995
,,-0.05  0.0   0.0,,-7284.0767 -3705.3865  2077.4019,0.979
,, 0.0   0.05  0.0,,-449073.16  177244.75  623614.25,0.984
,, 0.0  -0.05  0.0,,-3987.4124   688.1101 -2406.684 ,0.989
,, 0.0   0.0   0.05,,  45639.01  -136279.22   -17653.955,0.986
,, 0.0   0.0  -0.05,, 39790.586    6490.9766 -22740.389 ,0.994
,, 0.10  0.0   0.0,,-44899.703   -14471.711     -465.24997,0.991
,,-0.10  0.0   0.0,,-281576.47   39925.3   478637.25,0.986
,, 0.0   0.10  0.0,,287583.4  269756.4  208850.64,0.986
,, 0.0  -0.10  0.0,,-6.4155441e-03 -4.6197836e+04  1.3564672e+05,0.991
,, 0.0   0.0   0.10,,-9.6622895e-04  1.1543314e-03  5.5372199e+04,0.979
,, 0.0   0.0  -0.10,, 16261.096   8231.197 -69453.414,0.991
