friction,density,center_of_mass,scale,max_contact_force,success_rate
,,-0.02  0.0   0.0,,-5535.4575 13553.365  -7491.713 ,0.013
,, 0.0   0.02  0.0,, -5382.516    2262.9812 -10509.633 ,0.021
,, 0.0  -0.02  0.0,,-9669.83    2356.113  -7873.4478,0.021
,, 0.0   0.0   0.02,,-13718.639     4927.354     -223.76862,0.035
,, 0.0   0.0  -0.02,, 77443.1   153211.61   31321.191,0.039
,, 0.01  0.0   0.0,,  16759.498   59497.76  -107983.266,0.025
,,-0.01  0.0   0.0,,-21712.234   -2203.3228  10117.44  ,0.027
,, 0.0   0.01  0.0,,-7003.216   4036.9841 -6392.98  ,0.024
,, 0.0  -0.01  0.0,,-46445.387   60859.457    3234.6306,0.026
,, 0.0   0.0   0.01,,-29479.848    3201.8994  26637.855 ,0.017
,, 0.0   0.0  -0.01,,-2203.8767 -8837.05   -3015.1074,0.014
,, 0.05  0.0   0.0,,  4240.6304 -17373.479   -5359.309 ,0.014
,,-0.05  0.0   0.0,,  132.96974 -1194.5587  -2418.2747 ,0.037
,, 0.0   0.05  0.0,,-13392.771  12075.868 -22700.004,0.019
,, 0.0  -0.05  0.0,, -278.3262 -1712.9799 -2344.2751,0.091
,, 0.0   0.0   0.05,, -1220.4663      -29.701643 -10161.581   ,0.022
,, 0.0   0.0  -0.05,,-4984.15  -6006.78  10729.464,0.011
,, 0.10  0.0   0.0,, -479.44144  1136.2881  -7146.7837 ,0.0
,,-0.10  0.0   0.0,,-1338.7422      84.788925   826.27014 ,0.005
,, 0.0   0.10  0.0,,-4.3790945e-07  1.4007841e-06  5.7634590e+01,0.0
,, 0.0  -0.10  0.0,,  722.0889 -1394.2888 -2206.7566,0.116
,, 0.0   0.0   0.10,,-1054.6266  1605.7334 -7621.6514,0.174
,, 0.0   0.0  -0.10,,-1908.2045 -1686.1329 -8210.891 ,0.023
,, 0.50  0.0   0.0,, -946.86414  -523.56305 -1897.3137 ,0.0
,,-0.50  0.0   0.0,,3.3168344e-05 1.7299368e-05 7.9949072e+02,0.001
,, 0.0   0.50  0.0,,  0.35103646  72.92971    299.085     ,0.0
,, 0.0  -0.50  0.0,,  123.30692 -3925.9275  -1146.3701 ,0.007
,, 0.0   0.0   0.50,,-15109.44      780.5324   2102.1345,0.171
,, 0.0   0.0  -0.50,,-2537.8362  1897.0549 -9628.122 ,0.375
,, 1  0.0   0.0,, 626.90314 -304.1753   377.13693,0.0
,,1  0.0   0.0,,5118.1997  384.9054  259.6655,0.0
,, 0.0   1  0.0,,3.0784821e-02 8.5733461e-01 3.3313242e+02,0.0
,, 0.0  -1  0.0,,  779.76715 -1724.1182  -1781.4573 ,0.003
,, 0.0   0.0   1,,18109.957   7886.32    -449.5851,0.1
,, 0.0   0.0  -1,,-2417.716  -2669.2332 -4923.7397,0.324
,,,0.5,  811.21405  -671.0593  -1035.7103 ,0.0
,,,0.75,10438.076 20068.863 14755.488,0.013
,,,1.0, 6461.233   -2681.8835    222.52463,0.342
,,,1.25,-3167.1226 -2967.5369 -5897.8833,0.927
,,,1.5,14699.766  -2817.7417  3418.0713,0.954
,,,1.75,  2589.7285 -12002.888  -11775.107 ,0.614
,,,2.0,  3734.1838    -753.36975 -12356.052  ,0.046
,,,2.25,  4943.964   -3121.3838 -10765.458 ,0.012
,,,2.5,  -824.7356   1969.6599 -11478.142 ,0.014
,,,2.75, 6152.3354  -167.7267 27873.72  ,0.046
,,,3.0,   891.394 -11878.42   -7637.962,0.031
,,,3.25,10831.178     190.55258 -4214.399  ,0.027
,,,3.5, 5776.917  11034.954    935.5253,0.039
,,,3.75,-7352.885  -2157.1526 12237.134 ,0.019
,,,4.0,7758.8184 7405.647  4669.9116,0.012
,,,4.25,9085.46   4808.033  7347.8477,0.002
,,,4.5,12329.234    -948.56885  3180.8027 ,0.0
,,,4.75,15821.6045  2477.6787  4715.9067,0.0
,,,5.0,  9502.574  -10974.568    5834.2935,0.0
,,,5.25,19698.375 -6552.642  5325.249,0.0
,,,5.5, 10707.266 -12087.183 -19375.664,0.0
,,,5.75, 36710.54    7225.271 -19370.703,0.0
,,,6.0, 49322.57   -8012.427 -14188.767,0.0
