,method,environment,success,num_envs,run_name,model_name,split,distribution
78,scripted,EnvBottle-v0-phys-rand-with-cond,0.2783203125,1024,irrelevant,model_1250.pt,test,"beta(a=2.5, b=6.8)"
79,scripted,EnvBottle-v0-phys-rand,0.361328125,1024,irrelevant,model_1250.pt,test,"beta(a=2.5, b=6.8)"
80,scripted,EnvBottle-v0-phys-rand-with-cond,0.09375,1024,irrelevant,model_1250.pt,train1,"beta(a=2.5, b=1.9)"
81,scripted,EnvBottle-v0-phys-rand,0.1171875,1024,irrelevant,model_1250.pt,train1,"beta(a=2.5, b=1.9)"
82,scripted,EnvBottle-v0-phys-rand-with-cond,0.279296875,1024,irrelevant,model_1250.pt,train1,"beta(a=2.5, b=6.8)"
83,scripted,EnvBottle-v0-phys-rand,0.392578125,1024,irrelevant,model_1250.pt,train1,"beta(a=2.5, b=6.8)"
84,scripted,EnvBottle-v0-phys-rand-with-cond,0.1220703125,1024,irrelevant,model_750.pt,test,"beta(a=2.5, b=1.9)"
85,scripted,EnvBottle-v0-phys-rand,0.1494140625,1024,irrelevant,model_750.pt,test,"beta(a=2.5, b=1.9)"
86,scripted,EnvBottle-v0-phys-rand-with-cond,0.224609375,1024,irrelevant,model_750.pt,test,"beta(a=2.5, b=6.8)"
87,scripted,EnvBottle-v0-phys-rand,0.232421875,1024,irrelevant,model_750.pt,test,"beta(a=2.5, b=6.8)"
88,scripted,EnvBottle-v0-phys-rand-with-cond,0.111328125,1024,irrelevant,model_750.pt,train1,"beta(a=2.5, b=1.9)"
89,scripted,EnvBottle-v0-phys-rand,0.154296875,1024,irrelevant,model_750.pt,train1,"beta(a=2.5, b=1.9)"
90,scripted,EnvBottle-v0-phys-rand-with-cond,0.2587890625,1024,irrelevant,model_750.pt,train1,"beta(a=2.5, b=6.8)"
91,scripted,EnvBottle-v0-phys-rand,0.228515625,1024,irrelevant,model_750.pt,train1,"beta(a=2.5, b=6.8)"
92,scripted,EnvBottle-v0-phys-rand-with-cond,0.06640625,1024,irrelevant,model_250.pt,test,"beta(a=2.5, b=1.9)"
93,scripted,EnvBottle-v0-phys-rand,0.08984375,1024,irrelevant,model_250.pt,test,"beta(a=2.5, b=1.9)"
94,scripted,EnvBottle-v0-phys-rand-with-cond,0.1083984375,1024,irrelevant,model_250.pt,test,"beta(a=2.5, b=6.8)"
95,scripted,EnvBottle-v0-phys-rand,0.2158203125,1024,irrelevant,model_250.pt,test,"beta(a=2.5, b=6.8)"
96,scripted,EnvBottle-v0-phys-rand-with-cond,0.0703125,1024,irrelevant,model_250.pt,train1,"beta(a=2.5, b=1.9)"
97,scripted,EnvBottle-v0-phys-rand,0.0908203125,1024,irrelevant,model_250.pt,train1,"beta(a=2.5, b=1.9)"
98,scripted,EnvBottle-v0-phys-rand-with-cond,0.083984375,1024,irrelevant,model_250.pt,train1,"beta(a=2.5, b=6.8)"
99,scripted,EnvBottle-v0-phys-rand,0.220703125,1024,irrelevant,model_250.pt,train1,"beta(a=2.5, b=6.8)"
